match_id,league_name,country_name,home_team,away_team,start_time
12436536,Premier League,England,Bournemouth,Leicester City,2025-05-26 00:00:00
12436559,Premier League,England,Fulham,Manchester City,2025-05-26 00:00:00
12436538,Premier League,England,Ipswich Town,West Ham United,2025-05-26 00:00:00
12436548,Premier League,England,Liverpool,Crystal Palace,2025-05-26 00:00:00
12436540,Premier League,England,Manchester United,Aston Villa,2025-05-26 00:00:00
12436541,Premier League,England,Newcastle United,Everton,2025-05-26 00:00:00
12436556,Premier League,England,Nottingham Forest,Chelsea,2025-05-26 00:00:00
12436549,Premier League,England,Southampton,Arsenal,2025-05-26 00:00:00
12436557,Premier League,England,Tottenham Hotspur,Brighton & Hove Albion,2025-05-26 00:00:00
12436542,Premier League,England,Wolverhampton,Brentford,2025-05-26 00:00:00
12437506,LaLiga,Spain,Real Madrid,Real Sociedad,2025-05-24 23:15:00
12437663,LaLiga,Spain,Espanyol,Las Palmas,2025-05-25 01:30:00
12437511,LaLiga,Spain,Leganés,Real Valladolid,2025-05-25 01:30:00
12437507,LaLiga,Spain,Deportivo Alavés,Osasuna,2025-05-25 04:00:00
12437516,LaLiga,Spain,Getafe,Celta Vigo,2025-05-25 04:00:00
12437508,LaLiga,Spain,Rayo Vallecano,Mallorca,2025-05-25 04:00:00
12437509,LaLiga,Spain,Girona FC,Atlético Madrid,2025-05-25 21:00:00
12437512,LaLiga,Spain,Villarreal,Sevilla,2025-05-25 23:15:00
12437503,LaLiga,Spain,Athletic Club,Barcelona,2025-05-26 04:00:00
12448069,Premier League,Russia,Akron Togliatti,Lokomotiv Moscow,2025-05-24 22:30:00
12448063,Premier League,Russia,CSKA Moscow,Pari Nizhny Novgorod,2025-05-24 22:30:00
12448054,Premier League,Russia,Dinamo Makhachkala,FC Rostov,2025-05-24 22:30:00
12448059,Premier League,Russia,FC Spartak Moscow,FC Khimki,2025-05-24 22:30:00
12448053,Premier League,Russia,FK Krasnodar,Dynamo Moscow,2025-05-24 22:30:00
12448070,Premier League,Russia,Fakel Voronezh,Krylya Sovetov Samara,2025-05-24 22:30:00
12448055,Premier League,Russia,Rubin Kazan,Orenburg,2025-05-24 22:30:00
12448064,Premier League,Russia,Zenit St. Petersburg,Akhmat Grozny,2025-05-24 22:30:00
12798044,Premier League,Azerbaijan,Şamaxı FK,Qarabağ,2025-05-24 22:00:00
12797946,Premier League,Azerbaijan,Sabah FK,Neftçi Baku PFK,2025-05-25 00:30:00
12797951,Premier League,Azerbaijan,Turan Tovuz,Kəpəz PFK,2025-05-25 22:00:00
12797945,Premier League,Azerbaijan,Araz Naxçıvan PFK,Zirə FK,2025-05-26 00:30:00
13929908,Premier League,Bahrain,Manama Club,Al Najma Manama,2025-05-26 01:00:00
13380083,Premier League,Ghana,Aduana Stars FC,Legon Cities,2025-05-26 00:00:00
13380078,Premier League,Ghana,Bechem United,Basake Holy Stars FC,2025-05-26 00:00:00
13380091,Premier League,Ghana,Bibiani Gold Stars FC,Asante Kotoko SC,2025-05-26 00:00:00
13380095,Premier League,Ghana,Dreams,Berekum Chelsea,2025-05-26 00:00:00
13380239,Premier League,Ghana,Nations FC,Samartex,2025-05-26 00:00:00
13380240,Premier League,Ghana,Vision FC,Karela United,2025-05-26 00:00:00
13380238,Premier League,Ghana,Young Apostles FC,Heart of Lions,2025-05-26 00:00:00
13545667,Premier League,Kazakhstan,Kairat Almaty,FC Okzhetpes,2025-05-24 22:00:00
13545665,Premier League,Kazakhstan,Astana,FK Zhenys,2025-05-24 23:30:00
13545664,Premier League,Kazakhstan,FC Ordabasy,Ulytau FC,2025-05-24 23:30:00
13545668,Premier League,Kazakhstan,Zhetysu Taldykorgan,FK Aktobe,2025-05-25 20:00:00
13545662,Premier League,Kazakhstan,Atyrau,FC Kaysar,2025-05-25 22:00:00
13545666,Premier League,Kazakhstan,FC Kyzylzhar,Yelimay Semey,2025-05-25 22:00:00
13545663,Premier League,Kazakhstan,FC Turan,FC Tobol,2025-05-26 00:00:00
12246924,Premier League,Singapore,Hougang United,Brunei DPMM FC,2025-05-24 19:00:00
12246910,Premier League,Singapore,Tampines Rovers,Lion City Sailors,2025-05-24 19:00:00
12246916,Premier League,Singapore,Balestier Khalsa,Albirex Niigata Singapore,2025-05-25 19:00:00
12246917,Premier League,Singapore,Tanjong Pagar United,Geylang International,2025-05-25 19:00:00
12482001,Premier League,Ukraine,Chornomorets Odesa,Oleksandria,2025-05-24 19:00:00
12481999,Premier League,Ukraine,Rukh Lviv,Shakhtar Donetsk,2025-05-24 21:30:00
12481998,Premier League,Ukraine,Dynamo Kyiv,Kolos Kovalivka,2025-05-25 00:00:00
12481991,Premier League,Ukraine,NK Veres Rivne,LNZ Cherkasy,2025-05-25 21:30:00
12482002,Premier League,Ukraine,Karpaty Lviv,Zorya Luhansk,2025-05-26 00:00:00
12481997,Premier League,Ukraine,Polissya Zhytomyr,FC Kryvbas Kryvyi Rih,2025-05-26 00:00:00
